ORF,Chr,ORF_Start,ORF_End,Strand,TSS,TTS,TranscriptLength,TranscriptQualifier,TranscriptCenter,PromoterLength,PromoterQualifier,PromoterCenter,NDR3pLength,NDR3pQualifier,NDR3pCenter,Plus1,Minus1,RelativePlus1,RelativeMinus1,NDRcenter,NDRwidth
YAL068C,chrI,2169,1807,-1,2169,1665,505,Verified,1917,310,divergent,2324,1664,tandem,833,2393,2665,-224,-496,2529,125
YAL067C,chrI,9016,7235,-1,9191,7058,2134,Verified,8125,2373,tandem,10378,4577,convergent,4769,NaN,NaN,NaN,NaN,NaN,NaN
YAL064W,chrI,21566,21850,1,21566,22160,595,Verified,21863,7822,divergent,17655,36,convergent,22178,21223,20650,-343,-916,20937,426
YAL063C,chrI,27968,24000,-1,28211,23927,4285,Verified,26069,2976,divergent,29699,1241,tandem,23306,28136,28337,75,-126,28237,54
YAL062W,chrI,31567,32940,1,31188,33011,1824,Verified,32100,2976,divergent,29700,347,tandem,33185,31156,30887,-32,-301,31022,122
YAL060W,chrI,35155,36303,1,35107,36387,1281,Verified,35747,238,tandem,34988,171,tandem,36473,35231,35026,124,-81,35129,58
YAL059W,chrI,36509,37147,1,36559,37344,786,Verified,36952,171,tandem,36473,104,tandem,37396,36593,36327,34,-232,36460,119
YAL058W,chrI,37464,38972,1,37449,39011,1563,Verified,38230,104,tandem,37397,203,tandem,39113,37438,37231,-11,-218,37335,60
YAL056W,chrI,39259,41901,1,39215,41980,2766,Verified,40598,203,tandem,39113,210,tandem,42085,39266,38977,51,-238,39122,142
YAL055W,chrI,42177,42719,1,42191,42790,600,Verified,42491,210,tandem,42086,-73,convergent,42753,42220,41930,29,-261,42075,143
YAL054C,chrI,45022,42881,-1,45022,42718,2305,Verified,43870,721,divergent,45383,526,convergent,42455,45173,45795,-151,-773,45484,475
YAL053W,chrI,45899,48250,1,45744,48310,2567,Verified,47027,721,divergent,45383,253,tandem,48437,45795,45173,51,-571,45484,475
YAL051W,chrI,48564,51707,1,48564,51856,3293,Verified,50210,253,tandem,48437,-138,convergent,51787,48578,48253,14,-311,48416,178
YAL049C,chrI,52595,51855,-1,52661,51719,943,Verified,52190,-46,tandem,52638,3154,convergent,50142,52602,52869,59,-208,52736,120
YAL048C,chrI,54789,52801,-1,54825,52616,2210,Verified,53721,111,tandem,54881,-46,tandem,52639,54750,54966,75,-141,54858,69
YAL047C,chrI,56857,54989,-1,56857,54937,1921,Verified,55897,53,tandem,56884,111,tandem,54881,56819,57033,38,-176,56926,67
YAL046C,chrI,57385,57029,-1,57383,56911,473,Verified,57147,133,divergent,57450,53,tandem,56884,57350,57550,33,-167,57450,53
YAL044C,chrI,58462,57950,-1,58476,57868,609,Verified,58172,149,tandem,58551,350,convergent,57693,58439,58690,37,-214,58565,104
YAL043C,chrI,61052,58695,-1,61076,58626,2451,Verified,59851,197,divergent,61175,149,tandem,58551,61026,61326,50,-250,61176,153
YAL042W,chrI,61316,62563,1,61274,62654,1381,Verified,61964,197,divergent,61175,121,tandem,62715,61326,61026,52,-248,61176,153
YAL041W,chrI,62840,65404,1,62776,65463,2688,Verified,64120,121,tandem,62715,137,convergent,65532,62817,62533,41,-243,62675,137
YAL040C,chrI,67520,65778,-1,67844,65601,2244,Verified,66723,809,tandem,68249,2824,convergent,64189,67830,68236,14,-392,68033,259
YAL039C,chrI,69525,68716,-1,69581,68654,928,Verified,69118,2177,divergent,70670,809,tandem,68249,69543,70021,38,-440,69782,331
YAL038W,chrI,71786,73288,1,71759,73452,1694,Verified,72606,2177,divergent,70670,-27,convergent,73438,71824,71313,65,-446,71569,364
YAL036C,chrI,76152,75043,-1,76189,74850,1340,Verified,75520,211,divergent,76295,829,convergent,74435,76157,76446,32,-257,76302,142
YAL035W,chrI,76427,79435,1,76401,79555,3155,Verified,77978,211,divergent,76295,133,tandem,79622,76446,76157,45,-244,76302,142
YAL034W-A,chrI,79718,80587,1,79689,80675,987,Verified,80182,133,tandem,79622,-113,convergent,80618,79734,79457,45,-232,79596,130
YAL034C,chrI,81951,80710,-1,81951,80563,1389,Verified,81257,749,divergent,82326,873,convergent,80126,81988,82220,-37,-269,82104,85
YAL033W,chrI,82706,83227,1,82701,83299,599,Verified,83000,749,divergent,82326,-96,convergent,83251,82754,82543,53,-158,82649,64
YAL032C,chrI,84474,83335,-1,84494,83204,1291,Verified,83849,100,tandem,84544,502,convergent,82953,84456,84707,38,-213,84582,104
YAL031C,chrI,87031,84749,-1,87078,84595,2484,Verified,85837,185,divergent,87171,100,tandem,84545,87032,87310,46,-232,87171,131
YAL030W,chrI,87286,87752,1,87264,87862,599,Verified,87563,185,divergent,87171,-168,convergent,87778,87310,87032,46,-232,87171,131
YAL029C,chrI,92270,87855,-1,92522,87695,4828,Verified,90109,331,divergent,92688,430,convergent,87480,92451,92908,71,-386,92680,310
